Smiles,NET_pIC50_rat,DAT_pIC50_rat,DAT_pIC50_human,B1_pEC50_human,B3_pEC50_human,A1a_pEC50_human,B2_pEC50_human
COC(=O)[C@@H]1C2CCC(C[C@@H]1c3ccc(SC)cc3)N2CC=C,,,7.148741651,,,,
CN(CC(=O)N1CCN(CC1)c2ccccn2)S(=O)(=O)c3ccc(Br)cc3,,,,,,,7.718058067
Cc1ccc(OCc2nnc(SCc3nc4ccccc4[nH]3)n2Cc5occc5)cc1,,,,,,,5.966576245
Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1,,,,,6.356547324,,
OC(CCN1CCC(=CC1)Cc2ccccc2)c3cc4ccccc4s3,,,6.308918508,,,,
Cc1cc(C)cc(COCCOCCCCCCNC[C@H](O)c2ccc(O)c(CO)c2)c1,,,,8.102372909,8.301029996,,9.400000186
CC(C)Oc1cc(ccc1C(=O)NS(=O)(=O)C)c2ccc(CCNC[C@H](O)c3ccccc3)cc2,,,,,8.508638306,,
COc1ccc(CN2CCC(CC2)Oc3ccc(cc3)C(=O)N4CCCC4)c(F)c1,,,,,,,5.266160999
CN1CC2CCC(C1)C2c3ccccc3,,6.443697499,,,,,
COC(=O)[C@H]([C@@H]1CCCCN1)c2cccc(Br)c2,,8.37675071,,,,,
[O-][S+](Cc1cnc(Cl)s1)C(c2ccccc2)c3ccccc3,,,4.614036429,,,,
O[C@@H](CNCCc1ccc(NC(=O)Cc2cnccn2)cc1)COc3ccc(O)cc3,,,,5.508638306,7.080921908,,
CN1C2CCC1C(C(C2)c3ccc(Cl)cc3)C(=O)N,5.369572125,7.920818754,,,,,
Fc1ccccc1OCC(=O)N2c3ccccc3CCc4ccccc24,,,,,,,5.795880017
O[C@@H](CNCCc1ccc(NS(=O)(=O)N2CCCCC2)cc1)c3cccc(Cl)c3,,,,,6.209714836,,
O[C@@H](CNCCCCCCCCN1CCC(CC1)OC(=O)Nc2ccccc2c3ccccc3)c4ccc(O)c5NC(=O)C=Cc45,,,,,,,9.494850022
CCCCCCCCc1csc(Cc2ccc(cc2)S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)n1,,,,,8.008773924,,
CCC(=O)N(Cc1ccc2ccccc2c1)[C@@H]3CCNC3,,,6.575118363,,,,
O[C@@H](CNCCc1ccc(NS(=O)(=O)c2ccc(cc2)N3CCN(CCCc4ccc(Cl)cc4)C3=O)cc1)c5cccnc5,,,,,8.356547324,,
NCC(=O)NC1(CCCCC1)c2cc3ccccc3s2,,6.860120914,,,,,
O=C(CCCCCN1C(=S)Nc2ccccc2C1=O)NCc3ccc4OCOc4c3,,,,,,,8.113509275
NCC1(F)CCN(CC1)c2nc(Oc3cccc(F)c3)cc(n2)C(F)(F)F,,,8.30980392,,,,
C[C@H](Cc1c[nH]c2c(OS(=O)(=O)C)cccc12)NC[C@H](O)c3cccc(NCC#C)c3,,,,7.346787486,8,,7.346787486
Clc1ccccc1C2CCc3nc[nH]c3C2,,,,,,6.559090918,
CN1C[C@H](c2ccc3sccc3c2)c4ccc(cc4C1)N5CCOCC5,,,8.508638306,,,,
CCOC(=O)c1ccc(NC(=O)Cc2coc3cc4CCCc4cc23)cc1,,,,,,,5.123205024
O[C@@H](CNCC1CCN(CC1)S(=O)(=O)c2ccc3ccccc3c2)COc4cccc5[nH]c6ccccc6c45,,,,,6.420216403,,
COc1ccc(cc1OC)C2=NN(CCCCCNCC[C@H](Oc3ccc(cc3)C(F)(F)F)c4ccccc4)C(=O)C5CC=CCC25,,,5.223080997,,,,
COC(=O)[C@@H]([C@H]1CCCCN1)c2cccc(O)c2,,6.493494968,,,,,
[O-][S@@+](Cc1cncs1)[C@H](c2ccccc2)c3ccc(Br)cc3,,,5.37675071,,,,
