smiles,pEC50_GluN_e2z1_rat,pEC50_GluN_e3z1_rat,pEC50_GlyT1_human,pEC50_GlyT2_human,pIC50_GABAa1b2g2_human,pEC50_GluA_human,pKi_GABA_a1b3g2_human,pKi_GABA_a2b3g2_human,pKi_GABAa5b3g2_human,pKi_GABA_a3b3g2_human
CC1=C2[C@H](C[C@]34[C@H]5C[C@@H](C(C)(C)C)[C@@]33[C@@H](O)C(=O)O[C@H]3O[C@]24OC5=O)OC1=O,,,,,,,,,,
CCCCCCCCOc1ccc2[nH]c3cnc(C(=O)OCC)c(CC)c3c2c1,,,,,,,5.437707136,4.527243551,4.896196279,4.455931956
Clc1ncn-2c1Cn1ncnc1-c1cc(ccc-21)-n1ccnc1,,,,,,,,,7.886056648,
CCCn1ncnc1COc1nn2c(nnc2c2C3CCC(CC3)c12)-c1ccccc1,,,,,,,9.045757491,8.602059991,9.721246399,8.853871964
O[C@]1(CCCC[C@H]1N1CCC2(CC1)N(CNC2=O)c1ccccc1)c1cccc(Cl)c1,,,6.886056648,4.677780705,,,,,,
Clc1ccc(cc1)-n1[nH]c2c3CCCCc3ncc2c1=O,,,,,,,9.537602002,9.113509275,,8.823908741
Clc1ccc(cc1)-n1[nH]c2C3CN(CC4CC4)CCC3N=Cc2c1=O,,,,,,,9.346787486,8.124938737,,8.124938737
Cc1ccc(cc1)[C@@H]1CCCC[C@@H]1N1CCC2(CC1)N(CNC2=O)c1ccccc1,,,7.070581074,4.823908741,,,,,,
CCOc1ncn-2c1Cn1nccc1-c1ccccc-21,,,,,,,,,9.698970004,
COCCOc1cccnc1COc1nn2c(nnc2c2C3CCC(CC3)c12)-c1ccccc1,,,,,,,7.886056648,8.008773924,9.301029996,8.408935393
CCOC(=O)c1ncn-2c1Cc1cnc(nc1-c1cc(F)ccc-21)C(C)C,,,,,,,,,7.950781977,
CN1CCCC(C1)(NC(=O)c1ccc(Cl)cc1Cl)c1ccccc1,,,6.173925197,,,,,,,
CCOc1ccc(cc1C(=O)N1CCN(CC1)c1ccc(cc1F)C#N)S(C)(=O)=O,,,6.229147988,,,,,,,
CCOC(=O)c1ncn-2c1Cn1c(Cc3ccccc3)nnc1-c1cc(OC)ccc-21,,,,,,,,,7.640164518,
COc1ccc(cc1)-c1cc(C#N)c(=O)n(C)c1-c1ccc(cc1)N(C)C,,,,,,,5.15490196,5.744727495,,6.065501549
CS(=O)(=O)c1ccc(OCc2ccccc2)c(c1)C(=O)N1Cc2cc(cnc2C1)C(F)(F)F,,,6.09420412,,,,,,,
CCOC(=O)c1ncn-2c1CN=C(c1ccccc1)c1cc(ccc-21)C#C,,,,,,,6.542118103,7.346787486,7.860120914,7.017728767
CC(C)(C)OC(=O)c1cc2c(cn1)[nH]c1ccc(cc21)C#Cc1ccc2[nH]c3cnc(cc3c2c1)C(=O)OC(C)(C)C,,,,,,,7.522878745,6.906578315,,7
Cc1cnn(O)c1[C@@H](N)C(O)=O,,,,,,,,,,
C[C@@H]1C(=O)O[C@H]2C[C@@]34[C@H]5C[C@@H](C(C)(C)C)[C@@]33[C@@H](O)C(=O)O[C@H]3O[C@@]4(C(=O)O5)[C@@]12O,,,,,,,,,,
CN1c2ccc(cc2C(=NCC1=O)c1ccccc1[N+]([O-])=O)[N+]([O-])=O,,,,,,,9.30980392,9.119186408,8.113509275,9.119186408
FC(F)(F)COC(=O)c1cc2c(cn1)[nH]c1ccc(I)cc21,,,,,,,7.920818754,7.408935393,6.913640169,7.327902142
Cc1ncn-2c1Cn1ncnc1-c1c(F)cccc-21,,,,,,,,,9,
COc1ccc(OCC2N(CCc3cc(OC)c(OC)cc23)C(=O)c2cccc(C)c2)cc1,,5.207608311,,,,,,,,
CC(C)(C)OC(=O)c1cc2c(cn1)[nH]c1ccc(cc21)-c1ccccc1,,,,,,,8.440093375,8.694648631,7.116338565,7.353596274
Cn1ncnc1COc1nn2c(nnc2cc1C1CCCC1)-c1ccccc1,,,,,,,9.420216403,9.13667714,,9.468521083
Cc1ccn2c(cnc2n1)-c1cccc(c1)-c1ccccc1C#N,,,,,,,9.397940009,9.107905397,9.920818754,9.431798276
CCOC(=O)c1cnc2ccc(Cc3ccccc3)cc2c1O,,,,,,,,8.142667504,,
COc1ccc(OC)c(c1)-c1cccc2c(N)c(nnc12)C(=O)NC1CCC1,,,,,,,,7.580044252,,
CC(C)C1(CCCCC1)N1CCC2(CC1)C(CNC2=O)c1ccccc1,,,6.013228266,,,,,,,
Cc1csc(n1)-c1cc(-c2ccc(F)cc2)c(-c2ccncc2)n(C)c1=O,,,,,,,7.886056648,8.096910013,6.420216403,8.455931956
Cc1csc(n1)-c1cc(-c2cccnc2)c2-c3cnccc3CCCn2c1=O,,,,,,,8.27572413,8.619788758,,8.619788758
CCOC(=O)c1ncn-2c1CN=C(c1ccccn1)c1cc(ccc-21)C#C,,,,,,,6.522878745,6.278189385,7.086186148,6.278189385
O=c1[nH]oc(C2CCNCC2)c1-c1cccnc1,,,,,,,6.369572125,,,
COc1cc(cc(c1C(=O)NC1(CCCN(C1)C1CCCC1)c1ccccc1)C(F)(F)F)C(F)(F)F,,,6.568636236,,,,,,,
