smiles,pKi_hm,pKi_hd,pKi_hk,pEC50_hm,pEC50_hd,pEC50_hk
CC(C)C(=O)N1CCC(CC1)(c2ccccc2)c3nccn3Cc4ccccc4,,7.318758763,6.2069084,,,
CN[C@@]1(CC[C@]2(CC1)CN(Cc3cn(CCO)nn3)C(=O)N2CC4(O)CCC4)c5ccccc5,6.886056648,,,,,
CN(C)[C@@]1(CC[C@]2(CC1)CN(C(=O)N2)c3cnc(nc3)N4CCS(=O)(=O)CC4)c5ccccc5,5.161150909,,,,,
CC1(C)C(CCc2ccc(O)cc12)NC\C=C\c3ccccc3,7.958607315,6.326058001,7.086186148,,,
COC(=O)N1CCN([C@H]2[C@@H](CCC[C@H]12)N3CCCC3)C(=O)Cc4ccc(Cl)c(Cl)c4,,,,,,6.903089987
Oc1cccc(c1)[C@]23CCC[C@@H](N(CCc4ccccc4)CC2)C3=C,9.721246399,7.823908741,9.187086643,,,
COC(=O)[C@@H]1C[C@H](OC(=O)c2ccc3ccccc3c2)C(=O)[C@H]4[C@@]1(C)CC[C@H]5C(=O)O[C@@H](C[C@]45C)c6cocc6,6.744727495,,5.260427656,,,
COc1ccc(C)c(OC(CCN2CCC(CC2)N3C(=O)N(Cc4c(C)onc4C)c5ccccc35)C(C)C)c1,7.251811973,,,,,
CO[C@]12CC[C@@]3(C[C@@H]1COCc4ccccc4C)[C@H]5Cc6ccc(OCCO)c7O[C@@H]2[C@]3(CCN5C)c67,8.380906669,7.491604967,9.337242168,7.739451627,7.652669985,8.404503778
CC(=O)C1(CCN(CC1)c2cc(N)ccn2)c3ccccc3,,,,,6.580044252,
CN([C@H](CN1CCCC1)c2ccccc2)C(=O)Cc3cccc(N)c3,,,9.031517051,,,
CC1OC2(CCN(CCc3cccc(c3)C#N)CC2)CN(C1=O)c4ccccc4,7.30980392,,,7.214670165,,
CN(C)[C@@]1(CC[C@]2(CC1)CN(CC(=O)NCCOCCO)C(=O)N2CC3CCC3)c4ccccc4,7.292429824,,,,,
Cc1csc(CNCC[C@]2(CCOC3(CCCC3)C2)c4ccccn4)c1,,,,6.400116928,,
CN([C@H](CN1CC[C@H](O)C1)c2ccccc2)C(=O)NCC(=O)Nc3ccccc3,,,8.187086643,,,
Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N2Cc3ccccc3C[C@H]2C(=O)NCC(=O)NCc4ccccc4,9.795880017,10.50863831,,,,
CCN(CC)C(=O)c1ccc(cc1)C(N2CCNCC2)c3ccc4cc[nH]c4c3,,,,,7.346787486,
Oc1ccc2CC3N(CC4CC4)CCC56C(Oc1c25)C(CCC36O)NC(=O)c7ccc(Cl)c(Cl)c7,10,9.102372909,10,,,
COC(=O)[C@@H]1C[C@H](OC(=O)C)C(=O)[C@H]2[C@@]1(C)CC[C@H]3C(=O)O[C@@H](C[C@]23C)C4=CC5OC4C(=C5C(=O)OC)C(=O)OC,,,7.22184875,,,
Cl.Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)[C@H](CC[C@@]36O)NC(=O)c7cccc8ccsc78,,8.075720714,,,,
CN([C@H](CN1CCCC1)c2cccc(N)c2)C(=O)Cc3ccc(Cl)c(Cl)c3,,8.107905397,,,,
