smiles,pEC50_rM1,pEC50_hM1,pEC50_hM2,pEC50_hM4,pEC50_rM4,pEC50_hM5,pKi_rM1,pKi_hM2,pKi_hM3,pIC50_hM2,pIC50_rM2,pIC50_hM3,pIC50_hM4,pIC50_hM5,pKi_hM4,pKi_hM5,pIC50_hM1,pIC50_rM1,pKi_hM1,pKi_rM2,pKi_rM3,pIC50_AChE_HouseMouse,pIC50_AChE_human,pIC50_AChE_Cow,pIC50_AChE_eel,pIC50_AChE_BrownRat,pIC50_BChE_human,pKi_AChE_eel,pKi_AChE_human,pKi_BChE_human
CC(C)OP(=O)(F)OC(C)C,,,,,,,,,,,,,,,,,,,,,,,6.92081875395237,,6.31875876262441,,,,5.22184874961636,
OC[C@H]1OC(OC2=C(Oc3cc(O)cc(O)c3C2=O)c4ccc(O)cc4)[C@H](O)[C@@H](O)[C@H]1O,,,,,,,,,,,,,,,,,,,,,,,7.92081875395237,,,,,,,
CN1CCC=C(C1)C(=O)OCC#C,,,,,,,,,,,,,,,,6.0301183562535,,,5.9100948885606,,,,,,,,,,,
Cc1ccc2ccc(CNCCCCCCCCCNc3c4CCCCc4nc5ccccc35)c(O)c2n1,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
CC(=O)N(CCC1CCN(Cc2ccccc2)CC1)c3ccccc3,,,,,,,,,,,,,,,,,,,,,,7.2839966563652,7.2839966563652,,,,,,,
OCCN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1,,,,,,,,5.82390874094432,5.73329803311591,,,,,,,,,,,,,,,,,,,,,
CCN(CC)c1ccc(\C=C\c2cc[n+](CCC[N+](CC)(CC)CC)cc2)cc1,,,,,,,,7.42021640338319,7.61978875828839,,,,,,6.91721462968355,6.64206515299955,,,7.46852108295774,,,,,,,,,,,
CCCCN(CCCC)CCCCCCOc1ccc(CN(CC)CC)cc1,,,,,,,,,,,,,,,,,,,,,,,,,6.17392519729917,,6.63827216398241,,,
CCN(C)C(=O)Oc1cccc(CCNC)c1,,,,,,,,,,,,,,,,,,,,,,,4.68402965454308,,,,,,,
CC(N1CCSCC1)(C(=O)OC2CC[N+](C)(C)CC2)c3ccccc3,,,,,,,,,,,,9.1001794975729,,,,,,,,,,,,,,,,,,
CCC1(C)NC(=O)c2cc(Br)cc(Br)c2N1,,,,,,,,,,,,,,,,,,,,,,,,,4.53165266958784,,4.65560772631489,,,
Cc1nccn1CC#CCOc2ccon2,,,,,,,,6.54999736982681,6.95999136398646,,,,,,6.32999548868363,6.67999919573527,,,5.95999928552668,,,,,,,,,,,
